index_no,region_no,port_name,country,latitude,longitude,geog,geom
12280,11950,CARIPITO,VE,10.15,-63.033333,0101000020E61000004444444444844FC0CDCCCCCCCC4C2440,0101000020E61000004444444444844FC0CDCCCCCCCC4C2440
12330,11950,PALUA,VE,8.366667,-62.683333,0101000020E61000007777777777574FC0BCBBBBBBBBBB2040,0101000020E61000007777777777574FC0BCBBBBBBBBBB2040
12335,11950,PUERTO ORDAZ,VE,8.35,-62.716667,0101000020E6100000BCBBBBBBBB5B4FC03333333333B32040,0101000020E6100000BCBBBBBBBB5B4FC03333333333B32040
12370,12350,GEORGETOWN,GY,6.833333,-58.166667,0101000020E61000005555555555154DC05555555555551B40,0101000020E61000005555555555154DC05555555555551B40
12380,12350,LINDEN,GY,6,-58.3,0101000020E61000006666666666264DC00000000000001840,0101000020E61000006666666666264DC00000000000001840
12390,12350,NEW AMSTERDAM,GY,6.25,-57.516667,0101000020E61000002222222222C24CC00000000000001940,0101000020E61000002222222222C24CC00000000000001940
12405,12395,NIEUW NICKERIE,SR,5.95,-57,0101000020E61000000000000000804CC0CDCCCCCCCCCC1740,0101000020E61000000000000000804CC0CDCCCCCCCCCC1740
12410,12395,PARAMARIBO,SR,5.833333,-55.166667,0101000020E61000005555555555954BC05555555555551740,0101000020E61000005555555555954BC05555555555551740
12415,12395,PARANAM,SR,5.616667,-55.1,0101000020E6100000CDCCCCCCCC8C4BC07877777777771640,0101000020E6100000CDCCCCCCCC8C4BC07877777777771640
11460,11445,BASSE TERRE,GP,16,-61.733333,0101000020E6100000DEDDDDDDDDDD4EC00000000000003040,0101000020E6100000DEDDDDDDDDDD4EC00000000000003040
11470,11445,PORT LOUIS,GP,16.416667,-61.533333,0101000020E61000004444444444C44EC0ABAAAAAAAA6A3040,0101000020E61000004444444444C44EC0ABAAAAAAAA6A3040
11520,11515,ROSEAU,DM,15.3,-61.4,0101000020E61000003333333333B34EC09A99999999992E40,0101000020E61000003333333333B34EC09A99999999992E40
11530,11515,PORTSMOUTH,DM,15.566667,-61.466667,0101000020E6100000BCBBBBBBBBBB4EC02222222222222F40,0101000020E6100000BCBBBBBBBBBB4EC02222222222222F40
19970,19080,BEAR ISLAND,US,58.45,-152.683333,0101000020E6100000DEDDDDDDDD1563C09A99999999394D40,0101000020E6100000DEDDDDDDDD1563C09A99999999394D40
11550,11535,FORT DE FRANCE,MQ,14.6,-61.066667,0101000020E61000008988888888884EC03333333333332D40,0101000020E61000008988888888884EC03333333333332D40
3092,2820,THOROLD,CA,43.083333,-79.716667,0101000020E6100000DEDDDDDDDDED53C0ABAAAAAAAA8A4540,0101000020E6100000DEDDDDDDDDED53C0ABAAAAAAAA8A4540
3095,2820,ST CATHERINE,CA,43.183333,-79.283333,0101000020E61000002222222222D253C07777777777974540,0101000020E61000002222222222D253C07777777777974540
3100,2820,NIAGARA,CA,43.25,-79.066667,0101000020E61000004444444444C453C00000000000A04540,0101000020E61000004444444444C453C00000000000A04540
3110,2820,QUEENSTON,CA,43.166667,-79.066667,0101000020E61000004444444444C453C05555555555954540,0101000020E61000004444444444C453C05555555555954540
3130,3120,CHAUMONT,US,44.066667,-76.133333,0101000020E610000089888888880853C08988888888084640,0101000020E610000089888888880853C08988888888084640
2480,2270,CUMBERLAND,CA,45.516667,-75.4,0101000020E61000009A99999999D952C02222222222C24640,0101000020E61000009A99999999D952C02222222222C24640
42340,42010,ORMOS ALIVERIOU,GR,38.383333,24.05,0101000020E6100000CDCCCCCCCC0C38401111111111314340,0101000020E6100000CDCCCCCCCC0C38401111111111314340
42400,42010,PORTHMOS EVRIPOU,GR,38.466667,23.583333,0101000020E61000005555555555953740BCBBBBBBBB3B4340,0101000020E61000005555555555953740BCBBBBBBBB3B4340
42415,42010,LARIMNA,GR,38.566667,23.283333,0101000020E610000089888888884837408988888888484340,0101000020E610000089888888884837408988888888484340
42440,42010,STILIS,GR,38.916667,22.616667,0101000020E6100000DEDDDDDDDD9D36405555555555754340,0101000020E6100000DEDDDDDDDD9D36405555555555754340
42460,42010,TSINGELI,GR,39.166667,22.85,0101000020E61000009A99999999D936405555555555954340,0101000020E61000009A99999999D936405555555555954340
42470,42010,VOLOS,GR,39.366667,22.95,0101000020E61000003333333333F33640EFEEEEEEEEAE4340,0101000020E61000003333333333F33640EFEEEEEEEEAE4340
42490,42010,MILIANA,GR,39.166667,23.216667,0101000020E610000077777777773737405555555555954340,0101000020E610000077777777773737405555555555954340
42530,42010,THESSALONIKI,GR,40.633333,22.933333,0101000020E6100000EFEEEEEEEEEE36401111111111514440,0101000020E6100000EFEEEEEEEEEE36401111111111514440
42550,42010,YERAKINI,GR,40.266667,23.466667,0101000020E610000077777777777737402222222222224440,0101000020E610000077777777777737402222222222224440
42570,42010,STRATONI,GR,40.516667,23.833333,0101000020E61000005555555555D537402222222222424440,0101000020E61000005555555555D537402222222222424440
42620,42010,LAGOS,GR,41,25.133333,0101000020E610000022222222222239400000000000804440,0101000020E610000022222222222239400000000000804440
42630,42010,ALEXANDROUPOLI,GR,40.833333,25.883333,0101000020E61000002222222222E23940ABAAAAAAAA6A4440,0101000020E61000002222222222E23940ABAAAAAAAA6A4440
42760,42640,MITILINI,GR,39.1,26.566667,0101000020E61000001111111111913A40CDCCCCCCCC8C4340,0101000020E61000001111111111913A40CDCCCCCCCC8C4340
42780,42640,PLOMARION,GR,38.983333,26.366667,0101000020E6100000DEDDDDDDDD5D3A40DEDDDDDDDD7D4340,0101000020E6100000DEDDDDDDDD5D3A40DEDDDDDDDD7D4340
42790,42640,VRAKHONISIS KALLONIS,GR,39.083333,26.083333,0101000020E61000005555555555153A40ABAAAAAAAA8A4340,0101000020E61000005555555555153A40ABAAAAAAAA8A4340
42840,42640,NEON KARLOVAS,GR,37.8,26.683333,0101000020E6100000EFEEEEEEEEAE3A406666666666E64240,0101000020E6100000EFEEEEEEEEAE3A406666666666E64240
42850,42640,SAMOS,GR,37.75,26.966667,0101000020E61000007777777777F73A400000000000E04240,0101000020E61000007777777777F73A400000000000E04240
42860,42640,PITHAGORION,GR,37.683333,26.95,0101000020E61000003333333333F33A407777777777D74240,0101000020E61000003333333333F33A407777777777D74240
42880,42870,GAVRIO,GR,37.883333,24.733333,0101000020E6100000BCBBBBBBBBBB38401111111111F14240,0101000020E6100000BCBBBBBBBBBB38401111111111F14240
42890,42870,ANDROS,GR,37.833333,24.95,0101000020E61000003333333333F33840ABAAAAAAAAEA4240,0101000020E61000003333333333F33840ABAAAAAAAAEA4240
42905,42870,MIKONOS,GR,37.45,25.333333,0101000020E610000055555555555539409A99999999B94240,0101000020E610000055555555555539409A99999999B94240
42920,42870,LIMIN SIROU,GR,37.433333,24.95,0101000020E61000003333333333F338407777777777B74240,0101000020E61000003333333333F338407777777777B74240
42980,42870,NISOS NAXOS,GR,37.1,25.366667,0101000020E6100000DEDDDDDDDD5D3940CDCCCCCCCC8C4240,0101000020E6100000DEDDDDDDDD5D3940CDCCCCCCCC8C4240
42310,42010,DHIAVLOS STENO,GR,38.45,23.6,0101000020E61000009A999999999937409A99999999394340,0101000020E61000009A999999999937409A99999999394340
41660,41650,SHENGJIN,AL,41.816667,19.6,0101000020E61000009A999999999933408988888888E84440,0101000020E61000009A999999999933408988888888E84440
41670,41650,DURRES,AL,41.316667,19.45,0101000020E610000033333333337333408988888888A84440,0101000020E610000033333333337333408988888888A84440
41690,41650,VLORES,AL,40.466667,19.5,0101000020E61000000000000000803340BCBBBBBBBB3B4440,0101000020E61000000000000000803340BCBBBBBBBB3B4440
41720,41710,KERKIRA,GR,39.616667,19.933333,0101000020E6100000EFEEEEEEEEEE3340EFEEEEEEEECE4340,0101000020E6100000EFEEEEEEEEEE3340EFEEEEEEEECE4340
41730,41710,PREVEZA,GR,38.95,20.75,0101000020E61000000000000000C034409A99999999794340,0101000020E61000000000000000C034409A99999999794340
41790,41710,ARGOSTOLION,GR,38.183333,20.516667,0101000020E610000044444444448434407777777777174340,0101000020E610000044444444448434407777777777174340
